ORF,myStddev,myMean,myCV
YOR084W,0.037243597,3.347944005,0.011124319
YGL083W,0.018706981,3.234412245,0.005783734
YDR140W,0.023343742,3.422089527,0.006821488
YMR216C,0.019436674,3.347133746,0.005806961
YJL042W,0.027876288,3.550161987,0.007852117
YDR472W,0.025445377,3.382243649,0.007523224
YDR207C,0.023018285,3.318212452,0.006936953
YIL075C,0.010919696,3.610042882,0.003024811
YGR010W,0.015212792,3.200882327,0.004752687
YDR245W,0.015376401,3.514956843,0.004374563
YDR473C,0.029808575,3.344688346,0.008912213
YOR187W,0.013934765,3.670756942,0.003796156
YDR486C,0.04197247,3.411911592,0.012301746
YMR003W,0.030745266,3.445248088,0.008923963
YGL121C,0.063904056,3.441846637,0.018566794
YJL186W,0.014532645,3.520684469,0.00412779
YBR285W,0.117984381,3.177752993,0.037128242
YOL028C,0.026000197,3.135070277,0.008293338
YMR220W,0.009867512,3.655064095,0.002699682
YAR002W,0.021307442,3.535288832,0.006027072
YMR049C,0.057730489,3.544559869,0.016287068
YOR069W,0.015302526,3.259276475,0.004695068
YDR479C,0.024579779,3.38776549,0.007255455
YKR038C,0.012994629,3.54946167,0.003661014
YPR106W,0.019771287,3.39497619,0.00582369
YBL031W,0.06932018,3.124225236,0.022187959
YOR124C,0.017508997,3.570545176,0.004903732
YDL149W,0.032509395,3.215167596,0.01011126
YDR072C,0.025074587,3.516458801,0.007130636
YPL269W,0.028284353,3.170116612,0.00892218
YGL107C,0.022834807,3.394353855,0.006727291
YGR110W,0.032948653,3.353462978,0.009825262
YOR394C-A,0.065928714,2.829920669,0.023297018
YNL291C,0.010180186,3.388351202,0.003004466
YBR157C,0.043424502,3.152479169,0.013774715
YKL192C,0.012328519,3.612126033,0.003413092
YKR035W-A,0.023699543,3.475054221,0.006819906
YJL047C-A,0.052166777,3.154631796,0.016536566
YLR283W,0.033319718,3.398656517,0.009803791
YMR291W,0.040376956,3.411922815,0.011834077
YLR151C,0.030915206,3.215896889,0.009613246
YOR165W,0.008141059,3.539072402,0.002300337
YHR079C,0.022219457,3.19764992,0.006948684
YMR184W,0.010151391,3.606084948,0.002815073
YBL018C,0.029188445,3.545093881,0.008233476
YNL095C,0.046922481,3.304986346,0.014197481
YPL101W,0.020510561,3.422676229,0.005992551
YGR124W,0.008149174,3.754693147,0.002170397
YBR169C,0.043050566,3.540587969,0.012159157
YMR069W,0.051241294,2.76244295,0.018549268
YDR068W,0.021481007,3.413123715,0.00629365
YBR260C,0.017550889,3.46115888,0.005070813
