Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110,Well 111,Well 112,Well 113,Well 114,Well 115,Well 116,Well 117,Well 118,Well 119,Well 120
00:00:14,1.369,0.758,0.41,0.238,0.187,0.093,0.095,0.093,0.095,0.095,1.433,0.828,0.465,0.287,0.191,0.096,0.094,0.093,0.094,0.097
00:02:16,1.358,0.765,0.421,0.239,0.187,0.092,0.094,0.093,0.094,0.094,1.427,0.831,0.465,0.287,0.191,0.094,0.092,0.092,0.093,0.096
00:04:16,1.338,0.715,0.391,0.226,0.178,0.092,0.094,0.092,0.094,0.093,1.393,0.801,0.452,0.28,0.185,0.094,0.092,0.092,0.093,0.096
00:06:17,1.3,0.712,0.389,0.226,0.178,0.092,0.093,0.092,0.093,0.093,1.383,0.797,0.448,0.279,0.184,0.094,0.092,0.092,0.093,0.096
00:08:17,1.298,0.715,0.389,0.225,0.179,0.092,0.093,0.092,0.093,0.093,1.383,0.801,0.448,0.278,0.184,0.094,0.092,0.092,0.093,0.096
00:10:17,1.3,0.713,0.388,0.224,0.178,0.092,0.093,0.092,0.093,0.093,1.383,0.796,0.448,0.278,0.183,0.094,0.092,0.092,0.092,0.096
00:12:17,1.302,0.719,0.392,0.225,0.178,0.092,0.093,0.092,0.093,0.093,1.383,0.795,0.447,0.278,0.183,0.094,0.092,0.092,0.092,0.096
00:14:17,1.306,0.723,0.392,0.227,0.179,0.092,0.093,0.092,0.093,0.093,1.377,0.794,0.449,0.278,0.183,0.094,0.092,0.092,0.093,0.095
00:16:17,1.294,0.734,0.414,0.236,0.185,0.092,0.093,0.092,0.094,0.093,1.377,0.804,0.454,0.281,0.186,0.094,0.092,0.092,0.092,0.095
00:18:17,1.302,0.729,0.413,0.236,0.185,0.092,0.093,0.092,0.093,0.093,1.372,0.8,0.454,0.281,0.187,0.094,0.092,0.092,0.092,0.095
00:20:17,1.304,0.723,0.414,0.231,0.183,0.092,0.093,0.092,0.093,0.093,1.375,0.811,0.457,0.282,0.185,0.094,0.092,0.092,0.092,0.095
00:22:17,1.306,0.722,0.418,0.233,0.185,0.092,0.093,0.092,0.093,0.093,1.381,0.811,0.457,0.281,0.186,0.094,0.092,0.092,0.093,0.095
00:24:17,1.306,0.715,0.417,0.234,0.187,0.092,0.093,0.092,0.093,0.093,1.383,0.8,0.454,0.281,0.186,0.093,0.092,0.092,0.092,0.095
00:26:17,1.314,0.713,0.418,0.236,0.188,0.092,0.093,0.092,0.093,0.093,1.389,0.8,0.455,0.281,0.187,0.094,0.092,0.092,0.092,0.095
00:28:17,1.316,0.709,0.417,0.234,0.188,0.092,0.093,0.092,0.093,0.093,1.391,0.797,0.455,0.281,0.187,0.093,0.092,0.092,0.092,0.095
00:30:17,1.32,0.708,0.418,0.236,0.188,0.092,0.093,0.092,0.093,0.092,1.393,0.798,0.453,0.279,0.186,0.093,0.092,0.091,0.092,0.095
00:32:17,1.326,0.709,0.419,0.237,0.189,0.092,0.093,0.092,0.093,0.093,1.399,0.798,0.456,0.28,0.187,0.094,0.092,0.091,0.092,0.095
00:34:17,1.326,0.709,0.419,0.238,0.189,0.092,0.093,0.092,0.093,0.093,1.399,0.8,0.456,0.28,0.187,0.094,0.092,0.092,0.092,0.095
00:36:17,1.322,0.706,0.418,0.238,0.189,0.092,0.093,0.092,0.093,0.093,1.397,0.797,0.456,0.28,0.186,0.094,0.092,0.091,0.092,0.096
